ticker,cross_date,銘柄名,33業種区分
1333.T,2026-09-25,Ｕｍｉｏｓ,水産・農林業
1942.T,2026-09-25,関電工,建設業
1951.T,2026-09-25,エクシオグループ,建設業
2315.T,2026-09-25,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,情報・通信業
2337.T,2026-09-25,いちご,不動産業
2670.T,2026-09-25,エービーシー・マート,小売業
285A.T,2026-09-25,キオクシアホールディングス,電気機器
287A.T,2026-09-25,黒田グループ,卸売業
2931.T,2026-09-25,ユーグレナ,食料品
3028.T,2026-09-25,アルペン,小売業
319A.T,2026-09-25,技術承継機構,金属製品
3350.T,2026-09-25,メタプラネット,卸売業
3445.T,2026-09-25,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,金属製品
3482.T,2026-09-25,ロードスターキャピタル,不動産業
3498.T,2026-09-25,霞ヶ関キャピタル,不動産業
3612.T,2026-09-25,ワールド,繊維製品
3817.T,2026-09-25,ＳＲＡホールディングス,情報・通信業
3891.T,2026-09-25,ニッポン高度紙工業,パルプ・紙
3905.T,2026-09-25,データセクション,情報・通信業
3946.T,2026-09-25,トーモク,パルプ・紙
3984.T,2026-09-25,ユーザーローカル,情報・通信業
429A.T,2026-09-25,テクセンドフォトマスク,その他製品
4452.T,2026-09-25,花王,化学
4587.T,2026-09-25,ペプチドリーム,医薬品
4598.T,2026-09-25,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ,医薬品
4612.T,2026-09-25,日本ペイントホールディングス,化学
4626.T,2026-09-25,太陽ホールディングス,化学
464A.T,2026-09-25,ＱＰＳホールディングス,情報・通信業
4674.T,2026-09-25,クレスコ,情報・通信業
4980.T,2026-09-25,デクセリアルズ,化学
4997.T,2026-09-25,日本農薬,化学
5192.T,2026-09-25,三ツ星ベルト,ゴム製品
5393.T,2026-09-25,ニチアス,ガラス・土石製品
5444.T,2026-09-25,大和工業,鉄鋼
5821.T,2026-09-25,平河ヒューテック,非鉄金属
5830.T,2026-09-25,いよぎんホールディングス,銀行業
5831.T,2026-09-25,しずおかフィナンシャルグループ,銀行業
5838.T,2026-09-25,楽天銀行,銀行業
5981.T,2026-09-25,東京製綱,金属製品
5988.T,2026-09-25,パイオラックス,金属製品
5989.T,2026-09-25,エイチワン,金属製品
6134.T,2026-09-25,ＦＵＪＩ,機械
6227.T,2026-09-25,ＡＩメカテック,機械
6266.T,2026-09-25,タツモ,機械
6287.T,2026-09-25,サトー,機械
6301.T,2026-09-25,小松製作所,機械
6328.T,2026-09-25,荏原実業,機械
6381.T,2026-09-25,アネスト岩田,機械
6459.T,2026-09-25,だいわ,機械
6473.T,2026-09-25,ジェイテクト,機械
6490.T,2026-09-25,ＰＩＬＬＡＲ,機械
6498.T,2026-09-25,キッツ,機械
6508.T,2026-09-25,明電舎,電気機器
6521.T,2026-09-25,オキサイド,電気機器
6586.T,2026-09-25,マキタ,機械
6645.T,2026-09-25,オムロン,電気機器
6923.T,2026-09-25,スタンレー電気,電気機器
6925.T,2026-09-25,ウシオ電機,電気機器
7011.T,2026-09-25,三菱重工業,機械
7173.T,2026-09-25,東京きらぼしフィナンシャルグループ,銀行業
7182.T,2026-09-25,ゆうちょ銀行,銀行業
7224.T,2026-09-25,新明和工業,輸送用機器
7236.T,2026-09-25,ティラド,輸送用機器
7240.T,2026-09-25,ＮＯＫ,輸送用機器
7276.T,2026-09-25,小糸製作所,電気機器
7282.T,2026-09-25,豊田合成,輸送用機器
7701.T,2026-09-25,島津製作所,精密機器
7740.T,2026-09-25,タムロン,精密機器
7744.T,2026-09-25,ノーリツ鋼機,精密機器
7751.T,2026-09-25,キヤノン,電気機器
7760.T,2026-09-25,ＩＭＶ,精密機器
7966.T,2026-09-25,リンテック,その他製品
7979.T,2026-09-25,松風,精密機器
7994.T,2026-09-25,オカムラ,その他製品
7995.T,2026-09-25,バルカー,化学
8005.T,2026-09-25,スクロール,小売業
8012.T,2026-09-25,長瀬産業,卸売業
8050.T,2026-09-25,セイコーグループ,精密機器
8214.T,2026-09-25,ＡＯＫＩホールディングス,小売業
8306.T,2026-09-25,三菱ＵＦＪフィナンシャル・グループ,銀行業
8308.T,2026-09-25,りそなホールディングス,銀行業
8331.T,2026-09-25,千葉銀行,銀行業
8337.T,2026-09-25,千葉興業銀行,銀行業
8411.T,2026-09-25,みずほフィナンシャルグループ,銀行業
8508.T,2026-09-25,Ｊトラスト,その他金融業
8698.T,2026-09-25,マネックスグループ,証券、商品先物取引業
9413.T,2026-09-25,テレビ東京ホールディングス,情報・通信業
9551.T,2026-09-25,メタウォーター,電気・ガス業
9678.T,2026-09-25,カナモト,サービス業
9880.T,2026-09-25,イノテック,電気機器
186A.T,2026-09-24,アストロスケールホールディングス,サービス業
1882.T,2026-09-24,東亜道路工業,建設業
255A.T,2026-09-24,ジーエルテクノホールディングス,精密機器
