ticker,10日平均売買代金,10日中央値売買代金,除外,銘柄名,市場・商品区分,33業種区分
1301.T,147848600.0,149966750.0,False,極洋,プライム（内国株式）,水産・農林業
130A.T,3675800.0,3088400.0,True,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,医薬品
1332.T,2217484065.0,2081187300.0,False,ニッスイ,プライム（内国株式）,水産・農林業
1333.T,499529845.0,465941875.0,False,Ｕｍｉｏｓ,プライム（内国株式）,水産・農林業
135A.T,400296300.0,357057500.0,False,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,情報・通信業
1375.T,35355090.0,31603050.0,True,ユキグニファクトリー,プライム（内国株式）,水産・農林業
1376.T,18897650.0,18333100.0,True,カネコ種苗,スタンダード（内国株式）,水産・農林業
1377.T,382902800.0,368647500.0,False,サカタのタネ,プライム（内国株式）,水産・農林業
1379.T,132571750.0,132087600.0,False,ホクト,プライム（内国株式）,水産・農林業
137A.T,1273400.0,1277550.0,True,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,情報・通信業
1380.T,868650.0,648700.0,True,秋川牧園,スタンダード（内国株式）,水産・農林業
1381.T,17340500.0,11089250.0,True,アクシーズ,スタンダード（内国株式）,水産・農林業
1382.T,1524230.0,1684100.0,True,ホーブ,スタンダード（内国株式）,水産・農林業
1383.T,4357350.0,3747150.0,True,ベルグアース,スタンダード（内国株式）,水産・農林業
1384.T,21893590.0,20399200.0,True,ホクリヨウ,スタンダード（内国株式）,水産・農林業
138A.T,2998500.0,2625500.0,True,光フードサービス,グロース（内国株式）,小売業
1401.T,3297130.0,3017200.0,True,エムビーエス,グロース（内国株式）,建設業
1407.T,984358110.0,878090700.0,False,ウエストホールディングス,スタンダード（内国株式）,建設業
1414.T,1644662280.0,1194995225.0,False,ショーボンドホールディングス,プライム（内国株式）,建設業
1417.T,754301120.0,674147850.0,False,ミライト・ワン,プライム（内国株式）,建設業
1418.T,16531570.0,15923200.0,True,インターライフホールディングス,スタンダード（内国株式）,建設業
1419.T,232060660.0,238368000.0,False,タマホーム,プライム（内国株式）,建設業
141A.T,2219263100.0,2118819750.0,False,トライアルホールディングス,グロース（内国株式）,小売業
1420.T,6955580.0,6598200.0,True,サンヨーホームズ,スタンダード（内国株式）,建設業
1429.T,53707700.0,51750750.0,True,日本アクア,プライム（内国株式）,建設業
142A.T,7451310.0,3236900.0,True,ジンジブ,グロース（内国株式）,サービス業
1430.T,24232740.0,17807050.0,True,ファーストコーポレーション,スタンダード（内国株式）,建設業
1431.T,7529590.0,7069350.0,True,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業
1433.T,154562470.0,106313550.0,False,ベステラ,プライム（内国株式）,建設業
1434.T,48093380.0,33301600.0,True,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業
1435.T,51484300.0,48565600.0,True,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,不動産業
1436.T,234659780.0,151298600.0,False,グリーンエナジー＆カンパニー,グロース（内国株式）,建設業
1438.T,9081840.0,3333000.0,True,岐阜造園,スタンダード（内国株式）,建設業
143A.T,913710.0,913500.0,True,イシン,グロース（内国株式）,サービス業
1443.T,11226050.0,9120250.0,True,技研ホールディングス,スタンダード（内国株式）,建設業
1444.T,2775430.0,2003000.0,True,ニッソウ,グロース（内国株式）,建設業
1446.T,1384590.0,1237400.0,True,キャンディル,スタンダード（内国株式）,建設業
1447.T,93029900.0,79123950.0,True,ＳＡＡＦホールディングス,グロース（内国株式）,建設業
1450.T,3839950.0,3880850.0,True,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,建設業
145A.T,4079490.0,3273050.0,True,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,情報・通信業
146A.T,188141650.0,153701250.0,False,コロンビア・ワークス,スタンダード（内国株式）,不動産業
147A.T,105108450.0,81946800.0,True,ソラコム,グロース（内国株式）,情報・通信業
148A.T,2966780.0,2374800.0,True,ハッチ・ワーク,グロース（内国株式）,情報・通信業
1491.T,24562770.0,12183450.0,True,中外鉱業,スタンダード（内国株式）,非鉄金属
149A.T,3514290.0,3643500.0,True,シンカ,グロース（内国株式）,情報・通信業
150A.T,230404480.0,176160300.0,False,ＪＳＨ,グロース（内国株式）,サービス業
1514.T,158092420.0,158029100.0,False,住石ホールディングス,スタンダード（内国株式）,鉱業
1515.T,2060782350.0,2084200000.0,False,日鉄鉱業,プライム（内国株式）,鉱業
1518.T,726729860.0,599302550.0,False,三井松島ホールディングス,プライム（内国株式）,その他製品
151A.T,5482020.0,4647500.0,True,ダイブグループ,グロース（内国株式）,サービス業
153A.T,206521350.0,191078600.0,False,カウリス,グロース（内国株式）,情報・通信業
155A.T,28125740.0,25568550.0,True,情報戦略テクノロジー,グロース（内国株式）,情報・通信業
156A.T,24580760.0,21244200.0,True,マテリアルグループ,グロース（内国株式）,サービス業
157A.T,9570990.0,8335500.0,True,グリーンモンスター,グロース（内国株式）,サービス業
1605.T,22784960710.0,22503764550.0,False,ＩＮＰＥＸ,プライム（内国株式）,鉱業
160A.T,12531170.0,11247350.0,True,アズパートナーズ,スタンダード（内国株式）,サービス業
1662.T,2774918650.0,2839531800.0,False,石油資源開発,プライム（内国株式）,鉱業
1663.T,337168150.0,327141900.0,False,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業
166A.T,284784840.0,286657200.0,False,タスキホールディングス,プライム（内国株式）,不動産業
167A.T,426172950.0,423103000.0,False,リョーサン菱洋ホールディングス,プライム（内国株式）,卸売業
168A.T,3926970.0,1600800.0,True,イタミアート,グロース（内国株式）,その他製品
1711.T,5182710.0,4848450.0,True,ＳＤＳホールディングス,スタンダード（内国株式）,建設業
1716.T,25999080.0,25948000.0,True,第一カッター興業,スタンダード（内国株式）,建設業
1717.T,8342290.0,6505250.0,True,明豊ファシリティワークス,スタンダード（内国株式）,サービス業
1718.T,6967600.0,4950000.0,True,美樹工業,スタンダード（内国株式）,建設業
1719.T,1269043145.0,1236975600.0,False,安藤・間,プライム（内国株式）,建設業
1720.T,340761760.0,314283700.0,False,東急建設,プライム（内国株式）,建設業
1721.T,3519652540.0,2391143100.0,False,コムシスホールディングス,プライム（内国株式）,建設業
1723.T,545649830.0,471465000.0,False,日本電技,スタンダード（内国株式）,建設業
1724.T,1604760.0,1367300.0,True,シンクレイヤ,スタンダード（内国株式）,建設業
1736.T,7767840.0,8583000.0,True,オーテック,スタンダード（内国株式）,建設業
173A.T,2224720.0,2030400.0,True,ハンモック,グロース（内国株式）,情報・通信業
1758.T,7438810.0,2924400.0,True,太洋基礎工業,スタンダード（内国株式）,建設業
175A.T,11943860.0,2794750.0,True,Ｗｉｌｌ　Ｓｍａｒｔ,グロース（内国株式）,情報・通信業
1762.T,145242200.0,142135000.0,False,高松コンストラクショングループ,プライム（内国株式）,建設業
1764.T,1488570.0,1206250.0,True,工藤建設,スタンダード（内国株式）,建設業
1766.T,286167500.0,269589500.0,False,東建コーポレーション,プライム（内国株式）,建設業
1768.T,2785680.0,2766750.0,True,ソネック,スタンダード（内国株式）,建設業
1770.T,19127190.0,13345950.0,True,藤田エンジニアリング,スタンダード（内国株式）,建設業
